FirstName,Surname,DOB,Email,ContactNumber,Address,City,GenderID,Marketing
"Maya","Bay","2000-04-01","maya@gmail.com",NULL,NULL,"London",1,1
"Selin","Su","1990-11-20","selin@gmail.com",NULL,NULL,"London",1,1
"Denise","Dee",NULL,"denise@gmail.com",NULL,NULL,"London",1,0
"Karim","Su","1995-06-15","karim@gmail.com",NULL,NULL,"St Albans",2,1
"Benjamin","Cave","1997-05-13","benjamin@yahoo.com","07777777777","12 Street","London",2,0
"Evelyn","Days","1995-05-23","evelyn@yahoo.com","06666666666","24 Street","London",1,1
"Jodie","Daisy","1980-11-23","jodie@yahoo.com","05555555555","04 Street","London",1,0
"Willen","Cool","1995-12-28","willen@yahoo.com","04444444444","10 Street","Oxford",2,1
"Terri","Hall","2001-04-13","terri@yahoo.com","03333333333","42 Street","Bedford",1,1
"April","Cane","1995-11-02","april@yahoo.com","02222222222",NULL,"London",1,0
"Angel","Dune","1990-01-02","dune@yahoo.com",NULL,NULL,"Bedford",1,1
"Maliha","Minor","1965-12-22","m.minor@yahoo.com","01111111111","07 Street","London",1,0
"Prince","Reece","1992-01-30","reece@yahoo.com",NULL,NULL,"Luton",3,0
"Super","Hero","1975-03-02","heros@yahoo.com","08888888888",NULL,"Cambridge",3,0
"Naya","Brown","1977-07-12","naya@yahoo.com","09999999999",NULL,"Watford",1,1
"Turk","Baskar","1977-05-05","tbash@gmail.com","07956822421","132 High Street","Brighton",2,0
"Ahmed","Ali","1947-11-09","aali@gmail.com","07936547825","12 Mount View Street","Edinburgh",3,1
"Gina","Jillian","1956-12-01","jillianggee@gmail.com","07758632415","2 Sea Side View","Castle Road",2,1
"Tara","Banks","1979-12-15","tara_banks@gmail.com","07503526758","100 Sleepy Joe Road","London",2,0
"Amy","Sommerville","1977-07-11","ilovethesommervilles@gmail.com","07364587135","2 My High Road","Birmingham",1,1
"Richard","Jorges","1954-05-05","jeorgerich@gmail.com","07478236514","35 Old Shakespere House","Brighton",2,1
"Jing","Li","1965-12-01","jinglebellli@gmail.com","07956524420","1 North Pole Street","Wales",2,1
"Linda","Holmes","1980-12-05","homey@gmail.com","07532782421","12 High Street","Brighton",2,0
"Aleshia","Tomkiewicz",NULL,"atomkiewicz@hotmail.com",NULL,"St. Stephens Ward","Kent",1,1
"Evan","Zigomalas",NULL,"evan.zigomalas@gmail.com","01944-369967","Abbey Ward","Buckinghamshire",1,0
"France","Andrade",NULL,"france.andrade@hotmail.com","01714-737668","East Southbourne and Tuckton W","Bournemouth",1,1
"Ulysses","Mcwalters",NULL,"ulysses@hotmail.com","01935-821636","Hawerby cum Beesby","Lincolnshire",2,0
"Tyisha","Veness",NULL,"tyisha.veness@hotmail.com","01302-601380","Greets Green and Lyng Ward","West Midlands",2,1
"Eric","Rampy",NULL,"erampy@rampy.co.uk","01290-367248","Desborough","Northamptonshire",1,0
"Marg","Grasmick",NULL,"marg@hotmail.com","01545-817375","Bargate Ward","Southampton",1,1
"Laquita","Hisaw",NULL,"laquita@yahoo.com","01362-620532","Chirton Ward","Tyne & Wear",2,1
"Lura","Manzella",NULL,"lura@hotmail.com","01590-982428","Staple Hill Ward","Tyne & Wear",1,0
"Yuette","Klapec",NULL,"yuette.klapec@klapec.co.uk","01340-713951","Parwich","Derbyshire",1,1
"Fernanda","Writer",NULL,"fernanda@writer.co.uk","01933-512513","Wilmington","Kent",1,0
"Charlesetta","Erm",NULL,"charlesetta_erm@gmail.com","01687-879391","Loundsley Green Ward","Derbyshire",1,0
"Corrinne","Jaret",NULL,"corrinne_jaret@gmail.com","01517-624517","Dee Ward","Kent",3,0
